R,impl,trial,time_ms
1,pointer,1,16.85
1,pointer,2,16.52
1,pointer,3,16.63
1,pointer,4,16.38
1,pointer,5,20.19
1,csr,1,18.37
1,csr,2,21.18
1,csr,3,18.49
1,csr,4,19.35
1,csr,5,21.23
2,pointer,1,47.78
2,pointer,2,30.72
2,pointer,3,32.50
2,pointer,4,28.20
2,pointer,5,24.16
2,csr,1,17.92
2,csr,2,18.85
2,csr,3,18.48
2,csr,4,20.85
2,csr,5,20.02
5,pointer,1,58.89
5,pointer,2,62.57
5,pointer,3,52.52
5,pointer,4,70.15
5,pointer,5,72.15
5,csr,1,36.14
5,csr,2,36.25
5,csr,3,35.42
5,csr,4,37.90
5,csr,5,36.07
10,pointer,1,121.65
10,pointer,2,106.11
10,pointer,3,133.89
10,pointer,4,120.46
10,pointer,5,120.57
10,csr,1,57.44
10,csr,2,54.46
10,csr,3,57.59
10,csr,4,64.36
10,csr,5,59.00
20,pointer,1,227.31
20,pointer,2,176.44
20,pointer,3,190.93
20,pointer,4,181.29
20,pointer,5,147.10
20,csr,1,58.36
20,csr,2,52.18
20,csr,3,50.63
20,csr,4,53.21
20,csr,5,56.56
50,pointer,1,345.30
50,pointer,2,391.89
50,pointer,3,386.87
50,pointer,4,332.30
50,pointer,5,507.51
50,csr,1,252.44
50,csr,2,239.78
50,csr,3,178.53
50,csr,4,218.18
50,csr,5,219.97
100,pointer,1,943.99
100,pointer,2,1463.32
100,pointer,3,1369.69
100,pointer,4,1222.76
100,pointer,5,884.82
100,csr,1,258.85
100,csr,2,261.13
100,csr,3,294.53
100,csr,4,342.54
100,csr,5,531.87
